22-Feb-2022 13:37:36.425 INFO [http-nio-8080-exec-41] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:37:39.608 INFO [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:37:39.715 INFO [http-nio-8080-exec-40] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:37:57.485 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:37:57.936 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Creando la sesion
22-Feb-2022 13:37:57.938 INFO [http-nio-8080-exec-39] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:38:02.448 INFO [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:38:02.461 INFO [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:38:02.463 INFO [http-nio-8080-exec-38] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:38:02.475 INFO [http-nio-8080-exec-38] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:38:03.631 INFO [http-nio-8080-exec-43] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:38:03.643 INFO [http-nio-8080-exec-43] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 13:38:04.575 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Inicializando el request
22-Feb-2022 13:38:04.591 INFO [http-nio-8080-exec-21] org.apache.catalina.core.ApplicationContext.log Destruyendo el request
22-Feb-2022 14:08:27.195 INFO [Catalina-utility-2] org.apache.catalina.core.ApplicationContext.log Destruyendo la sesion
